#Time;Velocity
0;0
0.005;0
0.01;0
0.015;0.0002
0.02;0.0002
0.025;0.0004
0.03;0.0006
0.035;0.0008
0.04;0.001
0.045;0.0014
0.05;0.0016
0.055;0.002
0.06;0.0024
0.065;0.0028
0.07;0.0034
0.075;0.0036
0.08;0.0042
0.085;0.0048
0.09;0.0052
0.095;0.006
0.1;0.0064
0.105;0.007
0.11;0.0076
0.115;0.0082
0.12;0.0088
0.125;0.0094
0.13;0.0102
0.135;0.0108
0.14;0.0114
0.145;0.0122
0.15;0.0128
0.155;0.0134
0.16;0.0142
0.165;0.0146
0.17;0.0156
0.175;0.016
0.18;0.0166
0.185;0.0174
0.19;0.0178
0.195;0.0184
0.2;0.0192
0.205;0.0196
0.21;0.02
0.215;0.0206
0.22;0.0212
0.225;0.0216
0.23;0.022
0.235;0.0224
0.24;0.0228
0.245;0.023
0.25;0.0234
0.255;0.0238
0.26;0.024
0.265;0.024
0.27;0.0244
0.275;0.0244
0.28;0.0246
0.285;0.0246
0.29;0.0246
0.295;0.0246
0.3;0.0244
0.305;0.0244
0.31;0.0242
0.315;0.0242
0.32;0.0238
0.325;0.0234
0.33;0.0232
0.335;0.0228
0.34;0.0224
0.345;0.022
0.35;0.0214
0.355;0.0208
0.36;0.0202
0.365;0.0196
0.37;0.019
0.375;0.018
0.38;0.0174
0.385;0.0166
0.39;0.0158
0.395;0.0148
0.4;0.0138
0.405;0.013
0.41;0.0118
0.415;0.0108
0.42;0.0096
0.425;0.0084
0.43;0.0074
0.435;0.006
0.44;0.005
0.445;0.0034
0.45;0.0022
0.455;0.0008
0.46;-0.0006
0.465;-0.0018
0.47;-0.0036
0.475;-0.0048
0.48;-0.0066
0.485;-0.008
0.49;-0.0096
0.495;-0.011
0.5;-0.0128
0.505;-0.0144
0.51;-0.0162
0.515;-0.0178
0.52;-0.0194
0.525;-0.0212
0.53;-0.0228
0.535;-0.0246
0.54;-0.0264
0.545;-0.0282
0.55;-0.03
0.555;-0.0318
0.56;-0.0334
0.565;-0.0354
0.57;-0.0372
0.575;-0.039
0.58;-0.0406
0.585;-0.0426
0.59;-0.0444
0.595;-0.0462
0.6;-0.048
0.605;-0.0496
0.61;-0.0516
0.615;-0.0534
0.62;-0.055
0.625;-0.0568
0.63;-0.0586
0.635;-0.0604
0.64;-0.062
0.645;-0.0636
0.65;-0.0654
0.655;-0.067
0.66;-0.0686
0.665;-0.0702
0.67;-0.0718
0.675;-0.0732
0.68;-0.0748
0.685;-0.0764
0.69;-0.0776
0.695;-0.079
0.7;-0.0806
0.705;-0.0818
0.71;-0.083
0.715;-0.0842
0.72;-0.0856
0.725;-0.0866
0.73;-0.0878
0.735;-0.0886
0.74;-0.0898
0.745;-0.0908
0.75;-0.0916
0.755;-0.0924
0.76;-0.093
0.765;-0.094
0.77;-0.0944
0.775;-0.095
0.78;-0.0956
0.785;-0.096
0.79;-0.0964
0.795;-0.0968
0.8;-0.0968
0.805;-0.097
0.81;-0.0972
0.815;-0.0972
0.82;-0.097
0.825;-0.0968
0.83;-0.0966
0.835;-0.0962
0.84;-0.0958
0.845;-0.0954
0.85;-0.0948
0.855;-0.094
0.86;-0.0932
0.865;-0.0924
0.87;-0.0916
0.875;-0.0904
0.88;-0.0892
0.885;-0.088
0.89;-0.0866
0.895;-0.0852
0.9;-0.0836
0.905;-0.0822
0.91;-0.0802
0.915;-0.0786
0.92;-0.0766
0.925;-0.0746
0.93;-0.0724
0.935;-0.0702
0.94;-0.0678
0.945;-0.0656
0.95;-0.0628
0.955;-0.0604
0.96;-0.0578
0.965;-0.0548
0.97;-0.052
0.975;-0.049
0.98;-0.0458
0.985;-0.0428
0.99;-0.0396
0.995;-0.036
1;-0.0328
1.005;-0.0292
1.01;-0.0256
1.015;-0.022
1.02;-0.0184
1.025;-0.0144
1.03;-0.0104
1.035;-0.0066
1.04;-0.0026
1.045;0.0016
1.05;0.0056
1.055;0.01
1.06;0.0142
1.065;0.0184
1.07;0.0228
1.075;0.0272
1.08;0.0316
1.085;0.0362
1.09;0.0406
1.095;0.0452
1.1;0.0498
1.105;0.0544
1.11;0.0588
1.115;0.0636
1.12;0.068
1.125;0.0728
1.13;0.0774
1.135;0.082
1.14;0.0866
1.145;0.091
1.15;0.0958
1.155;0.1002
1.16;0.1048
1.165;0.1092
1.17;0.1136
1.175;0.118
1.18;0.1224
1.185;0.1266
1.19;0.1308
1.195;0.135
1.2;0.1392
1.205;0.143
1.21;0.147
1.215;0.151
1.22;0.1546
1.225;0.1584
1.23;0.1618
1.235;0.1654
1.24;0.1688
1.245;0.1722
1.25;0.1752
1.255;0.1782
1.26;0.181
1.265;0.184
1.27;0.1866
1.275;0.1892
1.28;0.1916
1.285;0.1938
1.29;0.196
1.295;0.1978
1.3;0.1998
1.305;0.2014
1.31;0.203
1.315;0.2044
1.32;0.2056
1.325;0.2066
1.33;0.2074
1.335;0.2084
1.34;0.2088
1.345;0.2092
1.35;0.2096
1.355;0.2096
1.36;0.2096
1.365;0.2092
1.37;0.2088
1.375;0.2084
1.38;0.2076
1.385;0.2066
1.39;0.2054
1.395;0.2044
1.4;0.2028
1.405;0.2012
1.41;0.1996
1.415;0.1976
1.42;0.1956
1.425;0.1932
1.43;0.191
1.435;0.1884
1.44;0.1856
1.445;0.183
1.45;0.1798
1.455;0.1768
1.46;0.1734
1.465;0.17
